adivino,Persona que predice el futuro o descubre cosas ocultas o ignoradas.,El adivino lee las cartas en el pueblo.,
admonición,Acción y efecto de amonestar.,El jugador recibió una admonición del árbitro.,
adolecer,Causar dolencia o enfermedad.,El mal clima le produjo un adolecer de músculos. ,
adoptar,Recibir como hijo al que no lo es naturalmente.,Mis amigos han decidido adoptar un niño.,
adoquines,Piedra labrada en forma de prisma rectangular para empedrados y otros usos.,Los romanos utilizaron adoquines para crear una amplia red de carreteras por toda Europa,
adoratriz,Que adora.,No entiendo de dónde sale esta adoratriz con los abuelos si casi nunca los ve.,
adulación,Acción y efecto de adular.,Utilizó la adulación para ganarse mi confianza. ,
aerosol,"Líquido que, almacenado bajo presión, puede ser lanzado al exterior en forma de aerosol. Se emplea mucho en perfumería, farmacia, pintura, etc.",Este aerosol tiene perfume y este otro tiene laca para el pelo.,
afición,"Inclinación, amor a una persona, actividad o cosa.",La lectura es su afición favorita.,
afín,"Próximo, contiguo.",El chico nuevo es muy afín a su familia.,
afonía,Falta de voz.,Es inevitable la afonía de los maestros cuando empieza la escuela.,
afroamericana,"Se dice de los descendientes de los esclavos africanos llevados a América, y de su arte, cultura y costumbres.",La nueva alcalde de mi ciudad es afroamericana.,
agarrotado,"Tieso, rígido.","Tengo el cuello agarrotado, he debido dormir en una mala postura",
agobiante,Que agobia o causa gran molestia o fatiga,La tarea que tuvimos que hacer fue agobiante.,
agravio,Ofensa que se hace a uno en su honra o fama.,Se lo tomó como un agravio personal.,
agridulce,Que tiene mezcla de agrio y de dulce,El platillo tenía un sabor agridulce.,
aguarrás,"Aceite volátil de trementina, usado principalmente como disolvente de pinturas y barnices.",El pintor limpiaba sus pinceles con aguarrás cada noche.,
agudización,Acción y efecto de agudizar o agudizarse.,La agudización del sonido no le permite dormir.,
aguileño,Dicho del rostro. Largo y delgado.,                                                           Juan tiene un rostro aguileño.,
aherrumbrar,Dar a una cosa color o sabor de hierro,El aire puede aherrumbrar los alimentos,
ahogar,Morir o fallecer por falta de respiración.,Si no sabes nadar te puedes ahogar en ese río.,
ahora,"A esta hora, en este momento, en el tiempo actual o presente",Ahora no llueve.,
ahorrativa,Que implica ahorro.,Tengo fama de ser ahorrativa,
ajeno,Perteneciente a otra persona.,Es ajeno le pertenece a otro.,
ajuar,"Conjunto de muebles, enseres y ropas que la mujer aporta al matrimonio.",Se ocupó de acomodar el ajuar de novia.,
alambique,"Aparato que sirve para destilar o separar de otras sustancias más fijas, por medio del calor, una sustancia volátil. ",El alambique se usa para hacer aguardiente.,
albaricoque,"Fruto del albaricoquero casi redondo por lo común amarillento y en parte encarnado, aterciopelado, de sabor agradable.",El albaricoque es llamado chavacano en México.,
albóndiga,"Cada una de las bolas que se hacen de carne o pescado picado menudamente y trabado con ralladuras de pan, huevos batidos y especias, y que se comen guisadas o fritas.",Rica la pasta con albóndiga.,
albornoz,"Tela hecha con estambre muy torcido y fuerte, a manera de cordoncillo.",El albornoz es hecho de estambre.,
alcachofa,Planta hortense de raíz fusiforme y tallo estriado con cabezuelas comestibles,¿Me ayudas a cortar esta alcachofa?,
alcantarillado,Conjunto de alcantarillas de una población,En días de lluvia el alcantarillado de la ciudad es insuficiente.,
alcoba,"Dormitorio,  en una vivienda, pieza destinada para dormir.",Mi alcoba es grande y muy cómoda.,
alcornoque,Árbol de fruto en bellota y madera muy dura.,El alcornoque es un árbol exclusivo de los países que bordean el mar Mediterráneo.,
aldaba,Pieza de hierro o bronce que se pone a las puertas para llamar golpeando con ella.,El visitante golpeaba la puerta con la aldaba para que le dieren el pase.,
aldea,"Pueblo de corto vecindario y, por lo común, sin jurisdicción propia.",Me fui a veranear a una pequeña aldea perdida en medio de la campiña francesa,
alegoría,Ficción en la cual algo representa o significa otra cosa diferente. ,En la alegoría los animales representaron a los hombres.,
alegría,Sentimiento grato y vivo que suele manifestarse con signos exteriores.,Me dio alegría verte después de tanto tiempo.,
alemán,De Alemania o relativo a este país europeo.,Estudiamos alemán en la escuela,
alergia,Sensibilidad extremada y contraria frente a sustancias que producen en el organismo una reacción especial de rechazo,Tiene alergia a las nueces,
alfabético,Perteneciente o relativo al alfabeto.,Pon las palabras en orden alfabético.,
alfiler,"Clavo metálico muy fino, que sirve generalmente para prender o sujetar alguna parte de los vestidos, los tocados y otros adornos de la persona.",El alfiler es un objeto que usan las costureras con frecuencia.,
algoritmos,Conjunto ordenado y finito de operaciones que permite hallar la solución de un problema.,En la programación de computadoras se usan algoritmos.,
alguacil,"Oficial inferior de justicia, que ejecuta las órdenes del tribunal a quien sirve.",El alguacil sigue las órdenes del juez.,
alimaña,Animal perjudicial a la caza menor., La alimaña acabó con los polluelos y los corde ros.,
alimentación,Conjunto de las cosas que se toman o se proporcionan como alimento.,Necesitas una alimentación muy saludable para sobreponerte.,
aliteración,"Repetición notoria del mismo o de los mismos fonemas, sobre todo consonánticos, en una frase.",La aliteración en las oraciones era fastidiosa,
almazara,Molino de aceite.,El almazara de mi pueblo se quebró durante la tormenta.,
almendra, Fruto del almendro.,La ensalada preparada con almendra es muy saludable.,
almohada,Colchón pequeño que sirve para reclinar sobre él la cabeza en la cama.,Cuando viajo tengo que llevar mi almohada para poder dormir bien.,
alquitrán,El obtenido por destilación del petróleo. Se usa como impermeabilizante y como asfalto artificial.,Hacía tanto calor en la ciudad que hasta el alquitrán de las carreteras parecía derretirse,
altavoz,Aparato electroacústica  que amplifica la energía en ondas sonoras.,A mi equipo de música le falta un altavoz.,
amables,"Que es complaciente, agradable y delicado en el trato con los demás.",El profesor pronunció unas amables palabras de despedida.,
amar,"Tener amor, querer.",Debemos amar muchísimo a nuestros hijos.,
ámbito,Espacio comprendido en límites determinados ,El ámbito nacional está muy interesante.,
ambulatorio,Dicho de una forma de enfermedad o de un tratamiento. Que no obligan a estar en cama.,Le harán un procedimiento ambulatorio para removerle las piedras en el riñón.,
americano,Natural de América,"El presidente americano, Obama, visitará España pronto.",
amigo,Que tiene amistad.,Es amigo de mi hijo.,
analgésico,Medicamento o droga que produce analgesia.,Tómate un analgésico para el dolor de cabeza.,
anatomopatológic o,Perteneciente o relativo a la anatomía patológica.,El examen anatomopatológico de los tumores germinales suele revelar lesiones mixtas.,
anciano,Dicho de una persona. De mucha edad.,El Centro de Los Abuelitos es para los ancianos.,
anexo,Una cosa unida a otra con dependencia de ella.,Le mandé un correo con un anexo,
antepenúltimo,"Inmediatamente, anterior al penúltimo",El viernes es el antepenúltimo día de la semana.,
antibiótico,"Sustancia química producida por un ser vivo o fabricada por síntesis, capaz de paralizar el desarrollo de ciertos microorganismos patógenos","Cuando hay una infección, lo mejor es tomar el antibiótico que le receta el médico.",
antigüedad,Aquello que sucedió o se hizo en tiempo remoto.,Esta casa es de antigüedad. ,
antiguo,Que existe desde hace mucho tiempo.,Ese teatro es muy antiguo.,
antropófago,Que come carne humana.,El tiburón es un animal antropófago. ,
antropozoico,Dicho de último período de la era cenozoica,En ese terreno antropozoico encontraron restos humanos.,
aorta,Arteria que nace del ventrículo izquierdo del corazón ,El bebé nació con doble aorta.,
aparato,Instrumento o mecanismo que tiene una función determinada.,Ese aparato sirve para abrir latas.,
apelación,Acción de apelar.,El juez negó la apelación del caso. ,
apófisis,"Parte saliente de un hueso, que sirve para su articulación o para las inserciones musculares.",El apófisis es parte del hueso.,
aprehensivo,Que es capaz de aprehender algo.,Es aprehensivo es capaz o perspicaz para aprehender algo.,
aprovechar,"Emplear útilmente algo, hacerlo provechoso o sacarle el máximo rendimiento",Supo aprovechar el tiempo.,
aprovisionamiento,Abastecimiento o provisión de lo que es necesario.,Durante el invierno hago aprovisionamiento de frutas.,
aproximación,Acción y efecto de aproximar.,La aproximación de los barcos era peligrosa.,
arácnido,"Se dice de los artrópodos sin antenas, de respiración aérea, con cuatro pares de patas y con cefalotórax. ",El animal arácnido carece de ojos compuestos y tiene dos pares de apéndices bucales variables por su forma y su función,
archiduque,Dignidad de los príncipes de la casa de Austria.,El archiduque hizo una visita oficial.,
ardid,Artificio empleado para el logro de algún intento.,Utilizó un ardid para engañarme,
área,Espacio de tierra comprendido entre ciertos límites.,Esta área pertenece a mi familia.,
argumento,Razonamiento empleado para convencer a alguien o para demostrar algo.,Esa teoría no tiene un argumento válido.,
armazón,Pieza o conjunto de piezas unidas que presta estructura o sostén a algo.,El soladado llevaba un armazón. ,
arquero,Soldado que peleaba con arco y flechas.,El arquero español llevaba la delantera.,
arquetipo,Modelo original y primario en un arte u otra cosa.,El arquetipo de la máquina era ideal.,
arquitecto,Persona que profesa o ejerce la arquitectura.,El arquitecto ya ha diseñado los planos de la casa.,
arrebato,Una de las circunstancias que atenúan la responsabilidad penal.,Perdió el control en un arrebato de rabia,
arsénico,Elemento químico de número atómico 33.,El arsénico se utiliza en medicina y en las industrias electrónica y del vidrio.,
artesano,Persona que hace por su cuenta objetos imprimiéndoles un sello personal,Admiramos la creatividad del artesano,
artimaña ,Artificio para engañar.,Utilizó una buena artimaña para engañar a las personas. ,
asado,Un platillo generalment de carne.,El asado de puerco es muy sabroso.,
asambleísta,Persona que forma parte de una asamblea.,Linda es la nueva  asambleísta en el gobierno.,
asceta,Persona que hace vida ascética.,El monje es un asceta.,
asertivo,Afirmativo.,Su punto de vista fue muy asertivo. ,
aseveró,Afirmar o asegurar lo que se dice.,Juan aseveró decir la verdad.,
asilvestrado,Dicho de una planta silvestre. Que procede de semilla de planta cultivada.,El terreno estaba asilvestrado.,
asíndeton,Un recurso literario que consiste en omitir la conjunción rápidamente.,La historia fue escrita en el estilo asíndeton.,
asociación,Unión de varias personas o cosas para el logro de un fin,Ella es una de las líderes de la asociación.,
astronómico,Perteneciente o relativo a la astronomía,Probablemente tenga un origen astronómico y no esté causado por los gases del efecto invernadero. ,
atento,"Cortés, amable.",Ese caballero es un señor muy atento y agradable.,
aterrizaje,Acción de aterrizar.,El aterrizaje fue difícil.,
audífono,"Aparato para percibir mejor los sonidos, especialmente usado por los sordos.",Mi padre se quedó casi sordo y le pusieron un audífono que le ayuda mucho,
auditivo,                                           Perteneciente o relativo al órgano del oído.,Tiene un sentido auditivo agudo.,
auscultación,Acción y efecto de auscultar.,"El médico llevará a cabo un examen físico, el cual incluye la auscultación del corazón.",
ausente,Dicho de una persona. Que está separada de otra persona o de un lugar. ,David estuvo ausente en la reunión.,
autismo,                                    Síndrome infantil ,Al niño le descubrieron que sufre de autismo.,
avaricia,"Codicia, avidez de riquezas",Se metió en negocios turbios por avaricia.,
avería,"Daño, deterioro que impide el funcionamiento de algo",Anoche hubo una avería en la central telefónica.,
avícola,De la avicultura o relativo a ella,Los señores tienen una granja avícola.,
azafrán,"Planta de la familia de las tridáceas, con rizoma en forma de tubérculo.",En el campo encontramos una planta de azafrán.,
azahar,"Flor blanca del naranjo, limonero y cidro.",El azahar es una fruta del naranjo.,
azar,Casualidad. Combinación de circunstancias imprevisibles e inevitables.,El azar hizo que nos volviéramos a encontrar años después,
báculo,Palo o cayado que llevan en la mano para sostenerse quienes están débiles o viejos.,Mi hermano necesita usar un báculo desde que se rompió la pierna.,
bahorrina,"Suciedad, porquería, basura, desperdicio, excremento","Cuando no existían los desagues y cloacas, las calles estaban llenas de bahorrina.",
bala,"Proyectil de diversas formas y tamaños, para cargar armas de fuego.",Hay muchos accidentes por una bala perdida. ,
balbuceo,Acción de balbucear.,Los primeros sonidos que emite un bebé son el llanto y el balbuceo.,
baldosa,"Ladrillo, fino por lo común, que sirve para solar.",La baldosa de mi cocina es muy antigua y necesito cambiarla.,
balonazo,Golpe fuerte dado con un balón.,Siempre jugamos al balonazo durante el recreo de la escuela.,
balsa,"Hueco del terreno que se llena de agua, natural o artificialmente.",Había una balsa cerca de la cabaña.,
báltico,"Perteneciente o relativo al mar Báltico, o a los territorios que baña.",No tengo ni idea dónde queda el Mar Báltico.,
bamba,Ritmo bailable iberoamericano.,El baile de la bamba es muy buen ejercicio.,
banana,botánica fruto comestible del plátano,La banana le gustó al chango.,
bandazo,"Cambio inesperado de ideas, opiniones, rumbo.  ",Ese político sigue usando bandazo en su discurso.,
banderilla,Palo delgado que usan los toreros para clavarlo en los toros.,En la Plaza de Madrid compré una banderilla.,
barbaries,"Fiereza, crueldad.","Durante la expansión de los romanos por Europa, se cometieron muchas barbaries.",
barbilla,Punta o remate de la barba ‖ parte de la cara que está debajo de la boca.,Se rasuró la barbilla.,
barítono,Voz media entre la de tenor y la de bajo.,La voz del barítono era hermosa,
barniz,"Baño que se da en crudo al barro, loza o porcelana.",Esa matera tiene un barniz muy brillante.,
barrabasada,"Travesura grave, acción disparatada que provoca algún perjuicio",No tolero ninguna barrabasada más.,
barroquismo,Tendencia a lo barroco,Su estilo literario es de un barroquismo algo cargante.,
báscula,Aparato que sirve para medir pesos.,Me pesé en la báscula,
basilisco,Persona furiosa o dañina,El director está hecho un basilisco por el daño a la escuela.,
bastoncillo,Galón estrecho que sirve para guarnecer.,Gracias al bastoncillo todos estuvimos bien.,
batidora,Instrumento con el que se baten o trituran los alimentos o bebidas,Hizo la mayonesa con la batidora.,
baúl,"Mueble frecuentemente de tapa convexa, que sirve para guardar ropas.",Mi abuelita guardaba sus tesoros en un baúl.,
bautizado,Administrar el sacramento del bautismo.,"Como son cristianos, ya han bautizado a su hijo pequeño.",
beatífico,"Dicho del Papa. Declarar que un difunto, cuyas virtudes han sido previamente certificadas, puede ser honrado con culto.",Juan Diego es un beatífico.,
begonias,"Planta perenne, originaria de América, de la familia de las Begoniáceas, de hojas grandes",Las begonias del jardín están bellas,
bendita,Persona buena o inocente,Isabel era una niña bendita.,
benevolencia,Simpatía y buena voluntad hacia las personas.,Lo querían por su benevolencia.,
bengala,Artificio luminoso con el que se hacen señales a distancia desde un barco u otro lugar parecido.,Lanzaron una bengala pidiendo socorro.,
berenjena,Fruto aovado cubierto por una película morada y lleno de una pulpa blanca.,A mí me gusta la berenjena frita.,
berro,Planta de la familia de las crucíferas con varios tallos.,El berro es muy bueno para el sistema respiratorio.,
bético,"Natural de la Bética.antigua provincia romana, hoy Andalucía.","Ese hombre es bético, nació en Andalucía.",
betún,"Mezcla de varios ingredientes, líquida o en pasta, que se usa para poner lustroso el calzado, especialmente el de color negro.",Solía cubrir de betún los zapatos de mi padre,
bicéfala,Que tiene dos cabezas,Bicéfala quiere decir que tiene dos cabezas.,
bien,"Perfecta o acertadamente, de buena manera.",Juanita lo hace todo bien.,
bienaventuranza,Prosperidad o felicidad humana.,Le desearon mucha bienaventuranza.,
bienintencionado,Que tiene buena intención.,Mi vecino es un hombre bienintencionado. ,
bienvenido,Recibido con agrado o júbilo.,Tú eres siempre bienvenido en mi casa.,
bifurcación,Acción y efecto de bifurcarse.,La bifurcación de la calle facilita el tráfico.,
bigote,Pelo que nace sobre el labio superior. ,No me gusta el bigote nuevo que se ha dejado mi padre.,
bigudí,"Lámina pequeña de plomo, larga y estrecha, forrada de piel, de tela u otro material, que usan las mujeres para ensortijar el cabello.", Mi abuelita siempre llevaba un bigudí en su cabeza.,
bipolarización,Situación en la que la vida política está dominada por dos coaliciones de partidos más o menos homogéneas.,La bipolarización presenta cierta semejanza con el bipartidismo.,
bisabuelo,Persona que el padre de su abuelo o abuela.,Ese muchacho conoció a su bisabuelo.,
bisiesto,"El que tiene un día más que el año común, añadido al mes de febrero. ",Este año será bisiesto. ,
bisutería,Industria que produce joyas hechas de materiales no preciosos.,La bisutería buena también puede ser muy cara.,
blanco,"Color de nieve o leche. Es el color de la luz solar, no descompuesta en los colores del espectro.",Elegí el blanco para mi traje de novia.,
blasón,                                              Arte de explicar y ,El blasón de la familia está en el escudo.,
boca,Cavidad en la cual está colocada la lengua y los dientes.,En boca cerrada no entran moscas.,
boceto,Proyecto o apunte general previo a la ejecución de una obra artística.,Los bocetos de ese pintor son tan bellos como las obras finales.,
bolígrafo,"Instrumento para escribir que tiene en su interior un tubo de tinta especial y, en la punta, una bolita metálica que gira libremente.",Los diplomas de graduación son firmados con un bolígrafo especial.,
bondad,Calidad de bueno.,La bondad de este argumento es indiscutible.,
bonito,Pez marino similar al atún,Se hizo el platillo de bonito.,
bonsái,Planta ornamental sometida a una técnica de cultivo que impide su crecimiento mediante corte de raíces y poda de ramas.,Muchos japoneses tienen un bonsái muy bello en su casa.,
boquiabierto,Que tiene la boca abierta.,Se quedó boquiabierto al ver la pintura de Picasso.,
bórax,"Sal blanca compuesta de ácido bórico, sosa y agua, que se encuentra formada en las playas y en las aguas de varios lagos de China, Tíbet, Ceilán y Potosí, y también se prepara artificialmente. ",En China podemos encontrar bórax.,
boricua,Natural de Puerto Rico,Mi amiga es boricua y es muy amable,
bostezar,Abrir la boca involuntariamente para tomar y expulsar aire.,Al bostezar oxigenamos nuestro cerebro.,
boyante,Que tiene fortuna o felicidad creciente.,Esa persona es boyante. ,
bozal,"Aparato, comúnmente de correas o alambres, que se pone en la boca a los perros para que no muerdan.",A mi perro no hace falta ponerle bozal porque no muerde.,
brecha,"Rotura o abertura irregular, especialmente en una pared o muralla.",Estaban preocupados que se cayera la pared por causa de la brecha.,
bretón,Natural de Bretaña,Es bretón natural de Bretaña.,
brinco,"Sobresalto, alteración",Dio un brinco y se subió al caballo.,
brisa,Viento suave,La brisa marina refrescó el malecón.,
brizna,"Filamento o hebra, especialmente de plantas o frutos.",De esta planta sacamos una brizna. ,
bromeliáceo,"Se dice de las hierbas y matas angiospermas, monocotiledóneas, por lo común anuales y de raíz fibrosa.",Hicimos un experimento con un tallo bromeliáceo. ,
bronquio ,Cada uno de los dos conductos fibrocartilaginosos en que se bifurca la tráquea y que entran en los pulmones.,El paciente tenía un bronquio inflamado. ,
bruto,"Grosero, rudo",El joven fue muy bruto en contestarle a su madre de esa manera.,
buganvilla,Arbusto trepador suramericano de la familia de las nictagináceas.,La buganvilla es una planta hermosa con colores brillantes. ,
buhardilla,Ventana que se levanta por encima del tejado de una casa.,Los murciélagos duermen bajo de la buhardilla.,
bulto,Volumen o elevación de algo.,Se veía un pequeño bulto en el bolsillo de su camisa.,
buñuelo,Fruta de sartén que se hace de masa de harina bien batida y frita en aceite. Cuando se fríe se esponja y sale de varias formas y tamaños.,Solamente puedo comerme un buñuelo por recomendación del doctor.,
burocracia,Organización regulada por normas que establecen un orden racional para distribuir y gestionar los asuntos que le son propios.,Tenía esperanzas de que la agencia le ayudaría pero descubrió que es una burocracia que solo le complicó el asunto.,
butaca,Silla de brazos con el respaldo inclinado hacia atrás.,La butaca del parque es ideal para sentarse a leer libros.,
caballeresco,"Propio de caballeros, galante",Su modo caballeresco es muy atractivo.,
cabezota,Persona que tiene la cabeza muy grande.  Persona terca y testaruda.,Le regalaron un sombrero pero no le quedó a su cabezota.,
cabrahígo,Fruta de la higuera silvestre,El cabrahígo es muy rico.,
cabuyería,"La cabuyería es la disciplina o saber que estudia el arte de hacer nudos, sus clases y sus distintas aplicaciones.",La cabuyería distingue varias aplicaciones para los nudos.,
cachirulo,Pañuelo que se anuda a la cabeza en el traje r egional  masculino de Aragón.,El cachirulo es una prenda que se ha popularizado como identificativa de las fiestas del Pilar.,
cachorro,Perro de corta edad.,Acaban de comprar un cachorro dálmata.,
caducifolio,"Dicho de los árboles y de las plantas. De hoja caduca, que se les cae al empezar la estación desfavorable.",El caducifolio es el tipo de árboles al que se le caen las hojas al empezar la estación desfavorable.,
cafetería,"Despacho de café y otras bebidas, donde a veces se sirven aperitivos y comidas.",La cafetería de mi trabajo tiene unos dulces muy ricos.,
calabaza,"Fruto muy vario en su forma, tamaño y color, por lo común grande, redondo y con multitud de pipas o semillas.",La niña decoro la calabaza para Halloween.,
calamar,Molusco cefalópodo de cuerpo alargado,Hay muchas recetas con calamar que son muy sanas.,
calcañuelo,Cierta enfermedad que padecen las abejas.,Las abejas padecen de calcañuelo.,
calcetín,Calceta o media que cubre el tobillo y parte de la pierna sin llegar a la rodilla.,El bebé perdió su calcetín gateando por la sala.,
calidez,"Afectividad, cariño, cordialidad.",Se sorprendió de la calidez del recibimiento.,
calmado,"Sosegado, adormecido, aliviado",Se tomó el té de tila y se sintió más calmado.,
calor,"Temperatura corporal o ambiental elevada, superior a la normal.",En julio hace mucho calor.,
cambio,"Mudanza, modificación",Hicimos un cambio en nuestro plan.,
caminar,Recorrer a pie determinada distancia,Es bueno caminar tres kilómetros diarios.,
cancionero,"Colección de canciones y poesías, por lo común de diversos autores.",Se compró el cancionero de la Edad Media.,
candela,Vela para alumbrar.,Se fue la luz y tuvo que alumbrar el cuarto con una candela.,
canica,"Juego de niños que se hace con bolas pequeñas de barro, vidrio u otra materia dura. ",He perdido una canica aunque podemos seguir jugando.,
canjear,Intercambiar algo o a alguien por otra cosa distinta.,Por cada compra te daban puntos que podrías canjear por regalos.,
caótico,Perteneciente o relativo al caos.,El plan de evacuación resultó caótico.,
caparazón,Cubierta rígida que protege el cuerpo de algunos animales.,La tortuga se escondió en su caparazón para protegerse del perro.,
capicúa,                                       Número que es igual ,El número 1331 es un capicúa.,
caramelo,"Golosina con caramelo y aromatizada con esencias de frutas, hierbas, etc.",Cómete el caramelo si quieres pero debes saber que tanto dulce produce caries.,
caricatura,Dibujo satírico,En el periódico aparecía la caricatura del ministro.,
cariño,"Inclinación de amor o afecto que se siente hacia una persona, animal o cosa",La niña demuestra cariño por los perros.,
carnaval,"Fiesta popular que se celebra en tales días, y consiste en mascaradas, comparsas, bailes y otros regocijos bulliciosos.",Fuimos al gran carnaval de Río de Janiero en Brasil con mis padres.,
carpintero,Persona que por oficio labra la madera y realiza objetos con ella.,Contrató a un carpintero para construir la mesa del comedor.,
carrete,"Cilindro de madera, metal, plástico.",Ella buscaba un carrete de hilo blanco para su costura.,
carroza,"Coche grande, ricamente vestido y adornado.","En su boda, la carroza llevó a Sonia a la iglesia.",
cartografía,                                              Arte de trazar mapas geográficos.,Él estudia la cartografía en la universidad.,
carúncula ,                                         Especie de carnosidad ,El gallo es muy orgulloso de su carúncula.,
cascabel,"Bola hueca de metal que lleva dentro un pedacito de hierro o latón para que, moviéndolo, suene.",Le puso un cascabel al gato para saber donde estaba.,
cascarrabias,Persona que se enfada fácilmente,"Mi vecino es un viejo cascarrabias, siempre está malhumorado.",
castañazo,"Golpetazo, puñetazo.",Le dio un castañazo a la puerta.,
casuística,Dicho de una disposición legal: Que rige casos especiales y no tiene aplicación genérica.,La casuística se refiere a una disposición legal.,
catacumbas,"Subterráneos en los cuales los primitivos cristi anos, especialmente en ",Las catacumbas romanas se sitúan bajo las grandes vías de la ciudad.,
catalizador,"Persona que, con su presencia o intervención, es capaz de hacer reaccionar un conjunto de factores.",El hermano de la anfitriona fue el catalizador de la reunión.,
catamarán,"Embarcación, por lo común de vela, de dos cascos unidos.",Estuvimos navegando en catamarán durante el verano.,
